talk_id,sequence_order,character,text,emotion,sprite_stage,voice_file,next_id,choice_options
vt001,1,misaki,まさか…本当に負けちゃうなんて思わなかった…,vulnerable,6,v_secret_victory_01.mp3,vt002,
vt002,2,player_thought,美咲がこんなに無防備な姿を見せてくれるなんて…心臓が激しく鼓動している。,,,,,vt003
vt003,3,misaki,こんな姿…あなたにしか見せられないわ…,intimate,6,v_secret_victory_02.mp3,vt004,
vt004,4,player_thought,美咲の言葉に胸が熱くなる。この特別な瞬間を大切にしたい。,,,,,vt005
vt005,5,misaki,どう…？この私を見て、何か感じる？,expectant,6,v_secret_victory_03.mp3,vt006,
vt006,6,player_thought,美咲の真剣な眼差しに、ただ頷くことしかできない。,,,,,vt007
vt007,7,player,君は…本当に美しいよ。,sincere,6,v_secret_victory_04.mp3,vt008,
vt008,8,player_thought,素直な気持ちを伝えると、美咲の頬がさらに赤らんだ。,,,,,vt009
vt009,9,misaki,そんなこと言われると…もっと恥ずかしくなっちゃう…,bashful,dressing,v_secret_victory_05.mp3,vt010,
vt010,10,player_thought,美咲の可愛らしい反応に、この時間がずっと続けばいいのにと思う。,,,,,vt011
vt011,11,player,このまま二人だけの時間を…もう少し。,hopeful,6,v_secret_victory_06.mp3,vt012,
vt012,12,misaki,そんなこと言って…でも私も…,conflicted,6,v_secret_victory_07.mp3,vt013
vt013,13,player_thought,美咲も同じ気持ちでいてくれるのかもしれない。この瞬間が愛おしい。,,,,,vt014
vt014,14,misaki,今日のことは…私たちだけの秘密よ,conspiratorial,6,v_secret_victory_08.mp3,vt015
vt015,15,player,約束するよ。君との秘密は、僕の宝物だから。,devoted,6,v_secret_victory_09.mp3,vt016
vt016,16,misaki,宝物…なんて。そんなふうに言われたら…,moved,6,v_secret_victory_10.mp3,vt017
vt017,17,player_thought,美咲の表情が柔らかくなり、二人の距離がさらに縮まったような気がする。,,,,,vt018
vt018,18,misaki,また…こんな時間を作ってくれる？,hopeful,6,v_secret_victory_11.mp3,vt019
vt019,19,player_thought,美咲からの誘いに、心の中で何度も頷いている。,,,,,vt020
vt020,20,player,もちろん。君ともっと特別な時間を過ごしたい。,committed,6,v_secret_victory_12.mp3,end,
